id_leitura,datahora,cultura,umidade_solo,temperatura_ar,ph_solo,nitrogenio_n,fosforo_p,potassio_k,valor_ldr,produtividade_t_ha,volume_irrigacao_mm,origem
18,2026-01-01 14:30:00,Milho,63.5,22.1,5.16,40.1,35.9,50.1,466,12.24,5.2,simulado
19,2026-01-01 15:00:00,Milho,56.8,27.9,7.39,34.6,57.2,51.9,3313,12.56,6.8,simulado
20,2026-01-01 15:30:00,Milho,55.9,26.6,5.23,59.0,21.3,61.1,545,11.2,8.9,simulado
21,2026-01-01 16:00:00,Milho,45.9,24.1,7.24,72.6,71.9,17.2,3120,10.94,12.6,simulado
22,2026-01-01 16:30:00,Milho,50.8,27.1,6.21,55.1,35.3,42.0,1806,12.34,10.4,simulado
23,2026-01-01 17:00:00,Milho,16.1,22.7,6.55,80.5,44.9,69.7,2239,8.49,29.0,simulado
24,2026-01-01 17:30:00,Milho,36.0,22.0,6.05,0.0,40.1,19.9,1601,7.25,20.1,simulado
25,2026-01-01 18:00:00,Milho,71.3,23.3,6.3,76.4,44.7,78.7,1916,16.0,2.8,simulado
26,2026-01-01 18:30:00,Milho,2.0,27.2,5.42,45.4,73.1,27.2,798,7.02,41.9,simulado
27,2026-01-01 19:00:00,Milho,2.0,30.5,5.99,37.2,82.6,31.7,1518,7.88,45.6,simulado
28,2026-01-01 19:30:00,Milho,15.7,26.4,6.01,21.0,61.5,51.6,1545,7.63,31.5,simulado
29,2026-01-01 20:00:00,Milho,51.3,37.0,6.57,44.1,7.2,16.3,2262,11.09,15.5,simulado
30,2026-01-01 20:30:00,Milho,54.0,26.7,6.34,20.4,15.1,12.7,1974,12.05,11.2,real
31,2026-01-01 21:00:00,Milho,4.8,16.4,6.65,12.6,29.8,35.4,2367,4.7,29.9,simulado
32,2026-01-01 21:30:00,Milho,92.8,33.4,6.24,43.2,4.0,15.5,1844,8.68,0.0,simulado
33,2026-01-01 22:00:00,Milho,31.3,27.1,5.74,65.1,30.1,100.0,1209,8.77,22.8,simulado
34,2026-01-01 22:30:00,Milho,33.8,28.3,5.57,33.5,64.7,38.4,991,8.61,24.8,simulado
35,2026-01-01 23:00:00,Milho,56.7,31.3,5.89,85.8,16.6,55.1,1396,14.16,9.5,simulado
36,2026-01-01 23:30:00,Milho,83.0,24.5,7.67,63.5,16.9,66.0,3676,9.39,0.1,simulado
37,2026-01-02 00:00:00,Milho,46.0,18.0,5.56,46.1,77.7,56.2,969,10.55,13.6,simulado
38,2026-01-02 00:30:00,Milho,79.9,24.6,6.46,71.7,51.5,54.9,2120,13.6,0.8,simulado
39,2026-01-02 01:00:00,Milho,84.1,29.2,6.69,13.9,70.6,47.7,2412,10.01,1.0,simulado
40,2026-01-02 01:30:00,Milho,100.0,23.7,7.01,0.0,53.4,36.0,2833,7.23,1.2,simulado
41,2026-01-02 02:00:00,Milho,74.7,25.6,5.72,50.3,52.0,57.5,1176,14.63,0.3,simulado
42,2026-01-02 02:30:00,Milho,57.3,17.4,7.75,77.1,78.6,83.9,3774,12.11,5.1,simulado
43,2026-01-02 03:00:00,Milho,63.4,22.5,6.88,51.5,28.1,86.6,2662,13.18,5.5,simulado
44,2026-01-02 03:30:00,Milho,66.7,33.9,6.56,33.8,35.0,24.3,2250,13.06,3.0,simulado
45,2026-01-02 04:00:00,Milho,59.1,28.3,4.58,85.4,64.8,24.9,0,12.87,7.7,simulado
46,2026-01-02 04:30:00,Milho,57.1,31.0,5.13,60.5,13.7,46.0,419,12.86,9.1,simulado
47,2026-01-02 05:00:00,Milho,77.0,19.6,5.95,0.0,53.3,15.8,1469,10.82,0.6,simulado
48,2026-01-02 05:30:00,Milho,10.5,25.5,6.1,21.8,16.7,9.8,1658,6.24,34.0,real
49,2026-01-02 06:00:00,Milho,65.0,23.3,5.57,20.4,100.0,48.9,984,14.69,3.7,simulado
50,2026-01-02 06:30:00,Milho,32.1,26.3,5.61,59.1,57.9,3.3,1040,7.43,23.9,simulado
51,2026-01-02 07:00:00,Milho,65.5,21.8,6.76,32.8,77.9,73.8,2508,14.04,2.0,simulado
52,2026-01-02 07:30:00,Milho,69.7,23.7,6.67,23.6,26.0,9.9,2390,12.26,0.0,simulado
53,2026-01-02 08:00:00,Milho,64.3,16.9,7.42,43.3,41.7,91.2,3346,12.87,3.7,simulado
54,2026-01-02 08:30:00,Milho,42.3,34.9,6.05,46.6,32.7,38.5,1600,8.27,19.9,simulado
55,2026-01-02 09:00:00,Milho,53.2,32.0,6.33,13.2,44.1,0.0,1952,11.7,10.2,simulado
56,2026-01-02 09:30:00,Milho,45.2,20.1,6.35,62.7,62.5,39.5,1985,10.76,12.4,simulado
57,2026-01-02 10:00:00,Milho,54.5,24.9,6.85,54.7,73.6,86.6,2620,14.02,6.8,simulado
58,2026-01-02 10:30:00,Milho,29.4,20.6,5.46,59.0,78.7,67.7,838,8.13,21.9,simulado
59,2026-01-02 11:00:00,Milho,24.2,29.5,6.69,17.9,59.2,32.7,2413,6.58,29.4,simulado
60,2026-01-02 11:30:00,Milho,26.0,20.0,6.72,96.1,40.3,8.8,2452,7.13,24.4,simulado
61,2026-01-02 12:00:00,Milho,50.6,19.7,6.13,85.7,73.0,58.7,1705,13.59,10.1,simulado
62,2026-01-02 12:30:00,Milho,63.0,21.0,6.37,23.1,0.3,65.8,2008,13.77,3.2,simulado
63,2026-01-02 13:00:00,Milho,85.0,33.8,5.01,98.8,52.5,43.7,273,9.36,0.0,simulado
64,2026-01-02 13:30:00,Milho,60.2,22.4,6.61,31.0,33.8,70.2,2317,13.78,5.6,simulado
65,2026-01-02 14:00:00,Milho,32.7,20.2,5.73,77.5,15.8,5.4,1190,8.39,19.5,simulado
66,2026-01-02 14:30:00,Milho,51.2,27.2,5.35,39.2,28.2,38.1,707,11.9,11.5,simulado
67,2026-01-02 15:00:00,Milho,64.2,25.6,5.03,50.8,14.9,51.8,294,14.16,5.1,simulado
68,2026-01-02 15:30:00,Milho,72.9,24.2,6.19,39.8,83.9,35.5,1780,15.03,0.0,simulado
69,2026-01-02 16:00:00,Milho,85.8,27.1,5.93,23.9,69.0,55.0,1447,11.41,0.1,simulado
70,2026-01-02 16:30:00,Milho,54.0,26.2,6.5,12.4,10.9,16.0,2173,11.95,12.1,real
71,2026-01-02 17:00:00,Milho,42.7,34.9,6.66,70.7,75.0,21.8,2376,9.16,19.5,simulado
72,2026-01-02 17:30:00,Milho,73.6,22.4,5.79,100.0,47.9,29.6,1260,15.11,0.0,simulado
73,2026-01-02 18:00:00,Milho,13.4,26.3,4.57,33.0,41.8,19.7,0,6.28,34.7,simulado
74,2026-01-02 18:30:00,Milho,74.8,20.7,6.12,44.4,57.3,81.5,1692,14.72,2.3,simulado
75,2026-01-02 19:00:00,Milho,23.6,25.9,6.35,33.1,48.0,53.7,1986,8.03,29.0,simulado
76,2026-01-02 19:30:00,Milho,73.0,29.6,5.73,85.2,66.8,64.5,1186,15.06,0.0,simulado
77,2026-01-02 20:00:00,Milho,29.6,26.5,7.34,52.0,33.3,38.8,3245,6.5,25.4,simulado
78,2026-01-02 20:30:00,Milho,59.5,20.6,7.22,10.9,55.2,92.0,3100,11.94,4.5,simulado
79,2026-01-02 21:00:00,Milho,32.3,29.0,6.72,31.9,22.7,16.9,2463,8.1,24.0,simulado
80,2026-01-02 21:30:00,Milho,83.9,26.8,5.58,45.0,36.7,45.7,996,11.54,0.3,simulado
81,2026-01-02 22:00:00,Milho,64.9,26.0,6.95,72.2,50.8,48.5,2749,15.27,2.4,simulado
82,2026-01-02 22:30:00,Milho,55.8,29.3,5.42,0.0,3.5,30.2,790,10.94,10.2,simulado
83,2026-01-02 23:00:00,Milho,31.2,22.7,7.03,38.4,83.6,76.3,2854,8.3,20.8,simulado
84,2026-01-02 23:30:00,Milho,31.4,21.1,6.31,100.0,59.5,60.4,1929,9.43,21.1,simulado
85,2026-01-03 00:00:00,Milho,85.2,29.0,4.2,90.6,56.0,49.0,0,8.96,0.0,simulado
86,2026-01-03 00:30:00,Milho,58.9,16.5,5.52,100.0,28.6,45.9,920,13.82,4.3,simulado
87,2026-01-03 01:00:00,Milho,61.5,22.7,5.86,59.4,74.8,43.5,1362,14.04,3.2,simulado
88,2026-01-03 01:30:00,Milho,2.0,31.5,4.62,54.4,28.3,26.2,0,5.22,49.0,simulado
89,2026-01-03 02:00:00,Milho,68.6,31.0,6.29,80.0,29.8,95.9,1906,16.0,0.0,simulado
90,2026-01-03 02:30:00,Milho,57.7,26.1,5.89,58.3,55.1,23.9,1397,13.85,6.4,simulado
91,2026-01-03 03:00:00,Milho,51.6,14.1,6.18,9.4,80.0,76.5,1767,10.41,8.5,simulado
92,2026-01-03 03:30:00,Milho,62.4,27.5,7.52,37.6,92.9,14.9,3487,13.35,6.1,simulado
93,2026-01-03 04:00:00,Milho,77.6,23.3,6.92,24.6,57.2,10.9,2712,11.35,2.6,simulado
94,2026-01-03 04:30:00,Milho,56.3,33.9,6.6,38.2,28.9,19.1,2305,12.67,9.6,simulado
95,2026-01-03 05:00:00,Milho,54.0,26.4,6.28,12.6,17.7,16.0,1893,12.58,8.5,real
96,2026-01-03 05:30:00,Milho,60.6,26.5,6.88,21.6,10.9,50.7,2663,12.89,6.1,simulado
97,2026-01-03 06:00:00,Milho,62.8,16.7,6.58,71.7,59.8,77.1,2278,14.38,3.6,simulado
98,2026-01-03 06:30:00,Milho,10.5,27.3,6.1,10.8,35.5,11.4,1666,6.46,37.7,real
99,2026-01-03 07:00:00,Milho,10.5,24.8,6.17,15.2,12.1,21.9,1752,7.22,35.1,real
100,2026-01-03 07:30:00,Milho,90.4,29.7,6.02,79.1,12.3,58.5,1561,11.65,0.1,simulado
101,2026-01-03 08:00:00,Milho,100.0,30.4,5.39,23.8,68.2,35.8,752,6.69,0.0,simulado
102,2026-01-03 08:30:00,Milho,49.1,28.6,7.35,78.2,26.1,62.9,3269,11.38,14.8,simulado
103,2026-01-03 09:00:00,Milho,35.3,29.7,6.54,71.2,0.0,50.4,2222,8.09,23.2,simulado
104,2026-01-03 09:30:00,Milho,63.4,26.7,4.81,83.5,13.0,96.2,8,13.82,4.2,simulado
105,2026-01-03 10:00:00,Milho,70.7,29.4,5.04,49.3,88.2,46.5,310,12.66,0.4,simulado
106,2026-01-03 10:30:00,Milho,51.8,33.2,6.17,0.0,88.8,47.3,1751,12.15,12.3,simulado
107,2026-01-03 11:00:00,Milho,32.0,21.7,5.22,36.2,69.3,53.8,531,5.87,23.3,simulado
108,2026-01-03 11:30:00,Milho,75.3,22.3,6.34,66.1,47.4,100.0,1973,13.89,0.0,simulado
109,2026-01-03 12:00:00,Milho,67.6,27.4,7.17,24.6,63.6,51.0,3031,12.66,0.9,simulado
110,2026-01-03 12:30:00,Milho,95.9,31.2,5.74,33.3,49.5,83.4,1206,8.1,0.0,simulado
111,2026-01-03 13:00:00,Milho,29.0,21.7,6.36,24.4,36.0,5.2,1992,6.27,21.9,simulado
112,2026-01-03 13:30:00,Milho,70.4,19.0,6.15,72.0,49.7,0.0,1729,14.22,0.0,simulado
113,2026-01-03 14:00:00,Milho,46.3,18.9,5.31,100.0,20.3,15.5,658,9.53,11.6,simulado
114,2026-01-03 14:30:00,Milho,72.1,25.8,7.11,53.8,27.6,94.6,2959,13.37,0.0,simulado
115,2026-01-03 15:00:00,Milho,60.3,30.7,6.95,61.9,74.0,49.2,2745,13.79,6.7,simulado
116,2026-01-03 15:30:00,Milho,61.6,21.9,6.68,5.9,99.7,47.5,2399,14.04,5.5,simulado
117,2026-01-03 16:00:00,Milho,60.3,23.2,6.76,0.0,5.9,24.8,2502,12.79,7.3,simulado
118,2026-01-03 16:30:00,Milho,36.1,22.9,5.84,29.1,68.3,53.5,1326,8.5,19.9,simulado
119,2026-01-03 17:00:00,Milho,60.8,19.5,6.08,51.8,48.4,87.2,1632,14.66,4.7,simulado
120,2026-01-03 17:30:00,Milho,31.2,22.0,5.81,9.3,45.3,13.6,1297,6.79,21.2,simulado
121,2026-01-03 18:00:00,Milho,9.6,24.8,7.03,48.7,52.8,79.7,2851,8.14,33.5,simulado
122,2026-01-03 18:30:00,Milho,69.3,29.3,4.71,100.0,21.2,96.6,0,14.26,1.2,simulado
123,2026-01-03 19:00:00,Milho,81.7,27.0,6.59,45.3,66.9,40.0,2293,12.24,0.0,simulado
124,2026-01-03 19:30:00,Milho,61.1,21.1,5.64,79.9,52.8,36.6,1073,13.83,3.2,simulado
125,2026-01-03 20:00:00,Milho,62.0,22.2,6.01,49.0,16.8,80.4,1545,14.45,4.1,simulado
126,2026-01-03 20:30:00,Milho,50.6,20.6,6.57,45.3,30.8,73.7,2268,13.05,10.3,simulado
127,2026-01-03 21:00:00,Milho,33.8,32.2,5.12,38.9,48.9,51.8,407,6.97,27.7,simulado
128,2026-01-03 21:30:00,Milho,46.8,28.2,7.44,82.4,46.3,10.5,3374,10.05,13.2,simulado
129,2026-01-03 22:00:00,Milho,51.3,29.2,6.34,49.5,59.5,36.0,1974,12.22,14.6,simulado
130,2026-01-03 22:30:00,Milho,39.0,23.9,6.6,44.1,47.6,52.6,2301,9.3,20.8,simulado
131,2026-01-03 23:00:00,Milho,27.1,26.9,6.36,54.3,15.7,0.0,1994,7.13,29.2,simulado
132,2026-01-03 23:30:00,Milho,41.3,24.6,8.5,32.5,25.1,29.1,4095,6.68,16.3,simulado
133,2026-01-04 00:00:00,Milho,19.8,28.8,6.5,41.1,48.5,68.2,2176,8.64,33.2,simulado
134,2026-01-04 00:30:00,Milho,89.1,25.4,5.02,60.1,68.9,42.8,285,8.64,0.6,simulado
135,2026-01-04 01:00:00,Milho,36.6,23.8,6.11,27.5,66.1,36.5,1673,8.62,18.5,simulado
136,2026-01-04 01:30:00,Milho,51.3,25.9,6.83,76.0,53.8,49.2,2595,13.92,14.0,simulado
137,2026-01-04 02:00:00,Milho,89.4,26.2,5.85,25.6,64.0,0.0,1344,8.66,0.0,simulado
138,2026-01-04 02:30:00,Milho,50.8,24.8,5.08,81.0,46.9,80.6,354,12.03,12.5,simulado
139,2026-01-04 03:00:00,Milho,55.7,40.0,6.87,60.2,65.0,17.7,2652,11.98,12.6,simulado
140,2026-01-04 03:30:00,Milho,17.9,26.2,5.88,78.1,22.9,65.6,1386,8.78,29.1,simulado
141,2026-01-04 04:00:00,Milho,32.1,19.9,5.37,19.4,71.7,27.4,726,6.66,17.8,simulado
142,2026-01-04 04:30:00,Milho,35.9,25.2,5.75,6.6,3.6,39.9,1211,7.67,22.9,simulado
143,2026-01-04 05:00:00,Milho,55.7,29.8,7.3,63.6,20.0,22.8,3200,12.42,9.8,simulado
144,2026-01-04 05:30:00,Milho,62.4,22.1,6.08,16.8,53.4,6.5,1635,12.95,4.7,simulado
145,2026-01-04 06:00:00,Milho,89.9,29.9,6.88,69.9,50.5,61.7,2662,10.53,0.0,simulado
146,2026-01-04 06:30:00,Milho,72.4,20.7,5.17,32.1,97.7,70.5,474,12.15,0.0,simulado
147,2026-01-04 07:00:00,Milho,96.4,27.0,6.33,20.3,54.9,25.5,1954,7.65,2.0,simulado
148,2026-01-04 07:30:00,Milho,44.0,32.5,6.2,39.4,64.3,40.0,1796,10.83,17.8,simulado
149,2026-01-04 08:00:00,Milho,59.1,40.0,6.07,62.6,94.5,18.9,1630,13.83,7.6,simulado
150,2026-01-04 08:30:00,Milho,52.6,28.5,7.14,71.1,82.2,65.5,2993,14.19,11.9,simulado
151,2026-01-04 09:00:00,Milho,18.0,24.6,6.63,7.6,23.0,13.8,2346,7.36,30.3,real
152,2026-01-04 09:30:00,Milho,17.9,24.1,7.41,46.3,54.7,11.0,3345,5.23,27.5,simulado
153,2026-01-04 10:00:00,Milho,42.7,25.5,6.18,23.9,30.7,29.5,1766,10.13,16.1,simulado
154,2026-01-04 10:30:00,Milho,69.0,27.5,5.06,68.9,50.3,54.1,330,13.5,0.6,simulado
155,2026-01-04 11:00:00,Milho,19.8,25.4,6.41,29.9,23.1,62.8,2057,8.52,30.1,simulado
156,2026-01-04 11:30:00,Milho,47.8,20.7,6.57,60.5,43.3,0.0,2268,10.64,12.3,simulado
157,2026-01-04 12:00:00,Milho,74.3,27.2,8.38,93.3,72.3,40.9,4095,13.08,0.0,simulado
158,2026-01-04 12:30:00,Milho,53.5,26.4,6.06,65.2,57.7,81.3,1609,14.51,8.6,simulado
159,2026-01-04 13:00:00,Milho,45.4,16.0,5.72,39.7,70.2,43.3,1181,8.7,10.9,simulado
160,2026-01-04 13:30:00,Milho,53.4,20.1,5.08,16.7,37.5,49.8,364,9.88,8.5,simulado
161,2026-01-04 14:00:00,Milho,43.4,29.9,6.61,31.1,48.9,51.3,2310,10.7,18.2,simulado
162,2026-01-04 14:30:00,Milho,55.0,26.8,5.93,54.2,27.2,55.3,1447,12.76,8.6,simulado
163,2026-01-04 15:00:00,Milho,25.5,30.8,4.2,49.7,57.9,35.4,0,5.62,28.2,simulado
164,2026-01-04 15:30:00,Milho,35.7,24.2,7.27,34.9,14.5,69.1,3166,5.95,21.4,simulado
165,2026-01-04 16:00:00,Milho,47.2,22.5,5.91,50.5,71.7,80.0,1425,12.05,12.7,simulado
166,2026-01-04 16:30:00,Milho,50.9,26.9,6.63,47.9,37.4,61.9,2345,12.53,12.7,simulado
167,2026-01-04 17:00:00,Milho,100.0,35.4,5.92,70.0,33.8,41.7,1435,7.48,0.0,simulado
168,2026-01-04 17:30:00,Milho,32.5,19.9,5.92,48.0,65.1,30.5,1430,8.35,17.4,simulado
169,2026-01-04 18:00:00,Milho,47.6,22.8,6.21,100.0,61.0,29.8,1803,13.48,13.5,simulado
170,2026-01-04 18:30:00,Milho,72.8,20.2,6.95,38.2,0.0,75.2,2754,12.14,0.0,simulado
171,2026-01-04 19:00:00,Milho,51.7,19.2,5.01,89.9,25.2,34.4,269,10.3,10.5,simulado
172,2026-01-04 19:30:00,Milho,37.8,23.1,5.19,61.3,58.8,22.8,502,7.34,16.8,simulado
173,2026-01-04 20:00:00,Milho,60.4,22.7,7.07,57.8,47.4,48.6,2900,14.2,7.0,simulado
174,2026-01-04 20:30:00,Milho,55.6,21.1,5.89,0.0,42.4,91.7,1393,13.0,6.9,simulado
175,2026-01-04 21:00:00,Milho,11.0,15.7,5.98,47.4,66.6,27.2,1505,5.8,27.2,simulado
176,2026-01-04 21:30:00,Milho,56.9,26.5,6.0,29.7,59.7,33.1,1533,13.97,8.2,simulado
177,2026-01-04 22:00:00,Milho,67.8,32.1,7.01,40.7,72.7,93.1,2831,13.04,3.5,simulado
178,2026-01-04 22:30:00,Milho,51.7,26.1,6.81,52.5,40.9,76.0,2574,12.71,10.6,simulado
179,2026-01-04 23:00:00,Milho,22.5,26.3,5.26,46.3,53.5,93.0,593,8.04,30.7,simulado
180,2026-01-04 23:30:00,Milho,97.5,21.6,5.8,78.5,25.8,32.5,1278,8.58,0.0,simulado
181,2026-01-05 00:00:00,Milho,42.7,31.1,5.14,86.7,83.8,33.8,435,9.3,18.3,simulado
182,2026-01-05 00:30:00,Milho,84.4,22.7,5.08,25.0,33.6,76.8,360,9.05,1.1,simulado
183,2026-01-05 01:00:00,Milho,97.6,26.0,7.32,48.1,0.0,53.7,3229,6.18,1.1,simulado
184,2026-01-05 01:30:00,Milho,90.8,19.3,6.83,31.7,56.3,55.5,2597,7.03,0.0,simulado
185,2026-01-05 02:00:00,Milho,54.0,25.0,5.45,29.6,63.1,77.2,825,13.54,9.6,simulado
186,2026-01-05 02:30:00,Milho,54.7,22.1,6.29,58.2,60.1,79.8,1904,14.76,9.2,simulado
187,2026-01-05 03:00:00,Milho,61.2,23.1,6.07,76.1,61.4,77.8,1619,16.0,4.3,simulado
188,2026-01-05 03:30:00,Milho,36.6,18.0,7.37,40.8,43.4,57.1,3287,6.37,13.9,simulado
189,2026-01-05 04:00:00,Milho,53.8,22.8,6.1,75.7,57.5,66.6,1661,14.09,9.8,simulado
190,2026-01-05 04:30:00,Milho,50.2,24.6,6.16,22.5,13.8,78.8,1745,12.18,13.4,simulado
191,2026-01-05 05:00:00,Milho,53.7,25.3,6.94,35.1,31.4,90.4,2741,12.31,10.0,simulado
192,2026-01-05 05:30:00,Milho,47.4,24.5,5.88,47.6,32.0,43.0,1378,11.28,13.0,simulado
193,2026-01-05 06:00:00,Milho,20.6,23.4,5.5,23.7,77.6,13.7,890,7.37,30.4,simulado
194,2026-01-05 06:30:00,Milho,35.2,26.5,6.05,69.0,16.6,30.3,1598,9.39,21.6,simulado
195,2026-01-05 07:00:00,Milho,40.0,28.6,6.38,22.8,11.9,19.0,2021,8.08,19.1,real
196,2026-01-05 07:30:00,Milho,41.9,29.8,6.64,16.1,83.8,0.0,2355,9.11,18.5,simulado
197,2026-01-05 08:00:00,Milho,71.3,25.3,4.82,57.6,99.9,64.8,25,13.59,1.2,simulado
198,2026-01-05 08:30:00,Milho,56.3,25.5,5.26,61.0,23.2,11.0,588,12.35,7.4,simulado
199,2026-01-05 09:00:00,Milho,92.0,30.0,5.15,68.4,54.9,15.0,446,8.87,1.1,simulado
200,2026-01-05 09:30:00,Milho,87.5,36.8,7.34,48.4,71.4,47.3,3249,6.99,0.9,simulado
201,2026-01-05 10:00:00,Milho,65.8,39.5,7.45,3.7,64.6,36.0,3391,10.56,3.2,simulado
202,2026-01-05 10:30:00,Milho,62.6,26.6,7.66,34.8,76.8,13.6,3654,11.78,4.4,simulado
203,2026-01-05 11:00:00,Milho,43.4,21.4,5.08,57.8,45.6,38.5,353,8.23,15.4,simulado
204,2026-01-05 11:30:00,Milho,78.1,29.1,6.04,50.3,51.9,24.6,1591,12.65,0.0,simulado
205,2026-01-05 12:00:00,Milho,59.7,25.5,5.82,76.4,69.1,29.2,1307,15.9,4.9,simulado
206,2026-01-05 12:30:00,Milho,35.2,34.5,5.63,31.3,34.4,21.3,1065,7.43,24.4,simulado
207,2026-01-05 13:00:00,Milho,7.2,21.6,6.55,56.8,0.0,38.8,2238,7.01,34.3,simulado
208,2026-01-05 13:30:00,Milho,67.3,25.9,7.08,82.1,71.4,26.6,2919,15.9,3.1,simulado
209,2026-01-05 14:00:00,Milho,62.0,22.5,5.19,74.5,64.3,84.4,498,14.06,3.9,simulado
210,2026-01-05 14:30:00,Milho,30.5,20.5,5.86,38.8,100.0,74.0,1353,8.64,19.8,simulado
211,2026-01-05 15:00:00,Milho,40.4,28.9,4.99,50.1,78.4,28.5,248,8.76,19.2,simulado
212,2026-01-05 15:30:00,Milho,50.5,25.6,5.92,32.6,53.6,13.0,1437,11.73,12.3,simulado
213,2026-01-05 16:00:00,Milho,22.4,27.4,5.59,59.0,59.5,94.0,1014,8.41,29.7,simulado
214,2026-01-05 16:30:00,Milho,26.8,23.8,5.37,46.6,46.9,94.2,724,6.92,26.5,simulado
215,2026-01-05 17:00:00,Milho,70.1,31.1,5.98,36.4,85.6,56.2,1506,15.03,0.0,simulado
216,2026-01-05 17:30:00,Milho,32.7,17.1,6.43,52.2,64.0,30.0,2092,7.58,16.7,simulado
217,2026-01-05 18:00:00,Milho,67.8,33.4,5.43,48.0,58.1,68.7,808,13.83,0.4,simulado
218,2026-01-05 18:30:00,Milho,30.9,31.1,5.51,51.5,25.2,44.4,905,7.15,28.7,simulado
219,2026-01-05 19:00:00,Milho,91.7,24.5,5.38,62.1,93.9,29.1,738,10.28,0.0,simulado
220,2026-01-05 19:30:00,Milho,94.3,27.1,5.61,24.3,45.7,48.4,1040,8.01,0.6,simulado
221,2026-01-05 20:00:00,Milho,14.7,25.9,5.3,64.9,100.0,88.5,644,7.74,35.6,simulado
222,2026-01-05 20:30:00,Milho,59.4,28.7,5.67,47.2,32.2,24.6,1115,13.41,6.4,simulado
223,2026-01-05 21:00:00,Milho,36.7,27.0,5.93,94.0,95.3,23.7,1441,11.54,20.2,simulado
224,2026-01-05 21:30:00,Milho,69.0,22.8,6.54,58.5,100.0,40.3,2223,14.57,1.9,simulado
225,2026-01-05 22:00:00,Milho,50.0,33.0,6.49,68.7,75.3,24.3,2159,12.85,14.2,simulado
226,2026-01-05 22:30:00,Milho,5.3,28.4,5.13,43.1,100.0,34.2,422,7.28,41.6,simulado
227,2026-01-05 23:00:00,Milho,16.9,32.6,6.34,56.4,51.8,38.4,1973,7.48,37.7,simulado
228,2026-01-05 23:30:00,Milho,62.5,24.5,5.1,54.7,40.6,67.7,386,13.4,2.3,simulado
229,2026-01-06 00:00:00,Milho,87.4,20.1,5.42,47.9,43.1,4.9,797,8.12,0.8,simulado
230,2026-01-06 00:30:00,Milho,4.6,24.7,5.42,52.9,45.4,43.9,790,6.34,39.5,simulado
231,2026-01-06 01:00:00,Milho,48.0,31.9,6.92,48.6,55.7,69.4,2708,10.8,11.6,simulado
232,2026-01-06 01:30:00,Milho,64.5,31.5,6.88,34.4,48.7,46.6,2661,13.37,3.8,simulado
233,2026-01-06 02:00:00,Milho,24.7,32.8,6.79,0.0,25.5,13.0,2545,5.24,34.8,simulado
234,2026-01-06 02:30:00,Milho,33.4,18.8,6.19,59.5,59.5,49.7,1773,8.16,19.2,simulado
235,2026-01-06 03:00:00,Milho,61.1,27.8,5.8,64.7,36.3,39.5,1284,14.95,4.6,simulado
236,2026-01-06 03:30:00,Milho,60.5,25.4,6.31,41.3,15.7,63.6,1937,15.59,3.7,simulado
237,2026-01-06 04:00:00,Milho,84.2,24.9,6.56,55.5,47.7,100.0,2253,12.45,1.2,simulado
238,2026-01-06 04:30:00,Milho,54.4,26.6,5.39,47.5,56.0,72.6,752,13.25,8.3,simulado
239,2026-01-06 05:00:00,Milho,73.8,20.0,5.89,40.9,62.3,19.8,1393,13.05,2.0,simulado
