Leitura;Tempo de simulacao (s);Cultura monitorada;Umidade do solo (%);Situacao da umidade;Valor do LDR;pH simulado;Situacao do pH;Nitrogenio (N);Fosforo (P);Potassio (K);Total de nutrientes bons;Status da bomba;Decisao do sistema
36;71;Milho;10.50;Solo seco;1945;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
37;73;Milho;10.50;Solo seco;1939;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
38;75;Milho;10.50;Solo seco;1867;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
39;77;Milho;10.50;Solo seco;1960;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
40;79;Milho;100.00;Solo umido;1782;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
41;81;Milho;100.00;Solo umido;1906;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
42;83;Milho;0.00;Solo seco;1857;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
43;85;Milho;54.00;Solo umido;2065;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
44;87;Milho;54.00;Solo umido;1974;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
45;89;Milho;54.00;Solo umido;1893;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
46;91;Milho;54.00;Solo umido;1921;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
47;93;Milho;54.00;Solo umido;1987;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
48;95;Milho;54.00;Solo umido;1952;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
49;97;Milho;54.00;Solo umido;2124;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
50;99;Milho;54.00;Solo umido;2173;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
51;101;Milho;54.00;Solo umido;2216;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
52;103;Milho;54.00;Solo umido;2318;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
53;105;Milho;54.00;Solo umido;2132;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque o solo ainda esta umido
54;107;Milho;18.00;Solo seco;2181;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
55;109;Milho;18.00;Solo seco;2346;Adequado;pH adequado;Baixo;Baixo;Baixo;0;Irrigacao desligada;Bomba desligada porque ha menos de 2 nutrientes em boas condicoes
